year,month,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
1984,3,0.7280,0.6341,-0.1290,0.6814,-0.6322,1.3017
1984,4,0.8130,-0.5127,-0.9136,1.0722,2.1374,2.4198
1984,5,0.7898,-5.9692,-0.4435,-1.4646,1.7800,1.7731
1984,6,0.7534,1.8032,0.4576,-2.2742,1.8150,0.6613
1984,7,0.8755,-2.7914,-2.3059,-1.3356,3.6298,2.9700
1984,8,0.7963,10.2880,0.2282,-0.4280,0.9652,0.0264
1984,9,0.8293,-0.7721,-0.7184,2.5924,0.1676,1.1840
1984,10,0.9766,-0.8323,-1.4098,-0.3033,2.6699,1.8111
1984,11,0.7334,-1.7642,-1.0611,2.2176,0.7994,1.6373
1984,12,0.6923,1.7774,-0.4105,-0.8106,2.5112,1.3006
1985,1,0.6474,7.9595,3.4367,-3.4516,0.9888,-1.6525
1985,2,0.6033,1.1965,0.7616,1.0958,1.5322,2.2437
1985,3,0.6160,-0.8419,-2.0585,3.3111,0.9456,2.0324
1985,4,0.7565,-0.9972,-0.6881,1.4012,0.1215,1.8021
1985,5,0.6062,5.1199,-1.6118,-1.2667,3.2430,1.5286
1985,6,0.5546,1.2630,-0.5444,-0.1402,2.8783,1.6833
1985,7,0.6196,-0.7116,2.3504,-0.8343,-1.7883,1.3406
1985,8,0.5792,-1.0294,-0.1602,2.0702,0.4266,1.0419
1985,9,0.6049,-4.5089,-1.8447,1.9424,1.1445,1.7479
1985,10,0.6021,4.0490,-0.1913,0.2881,2.2330,2.8931
1985,11,0.6156,6.4314,-0.2272,-1.6430,1.7564,-0.9268
1985,12,0.6139,3.9066,0.2882,-1.5031,1.7438,-0.9284
1986,1,0.4865,0.7222,1.0600,-0.6883,1.6530,1.7818
1986,2,0.5296,7.1168,-0.3587,-1.4016,2.3756,0.8424
1986,3,0.5963,4.8772,0.6255,1.0909,2.0581,1.7081
1986,4,0.5341,-1.2943,1.0660,-1.5760,0.6493,0.0184
1986,5,0.4934,4.6065,-1.1507,1.2884,3.3762,0.9818
1986,6,0.5246,1.0334,-0.2631,1.6555,5.2598,0.8818
1986,7,0.5011,-6.4158,-2.7392,1.3922,2.9692,2.7937
1986,8,0.4614,6.0494,-4.3752,3.0475,-2.7090,1.6055
1986,9,0.4783,-8.6054,0.5503,3.3766,-3.7962,-0.3482
1986,10,0.4209,4.6835,-1.7598,0.5282,1.5050,0.6012
1986,11,0.3924,1.1601,-1.9889,0.3816,1.1185,3.7262
1986,12,0.4767,-3.2308,0.8446,1.0676,1.8948,1.6509
1987,1,0.4151,12.4378,-1.2374,-1.2555,0.9573,2.8709
1987,2,0.4309,4.3777,3.3665,-1.9139,2.0684,-1.0583
1987,3,0.5012,1.6042,-0.7151,4.2001,-1.1294,1.3212
1987,4,0.4285,-2.0802,-2.4687,0.3054,-1.5336,0.5546
1987,5,0.3760,0.1095,-1.2157,-0.1208,-2.3436,-0.1604
1987,6,0.5031,3.8854,-1.5210,1.3763,1.4245,-0.1725
1987,7,0.4058,3.8826,-2.0803,0.1168,-1.7888,-0.6461
1987,8,0.4744,3.5169,-0.1983,-0.2478,3.8033,2.4700
1987,9,0.4820,-2.6135,0.6269,1.9312,0.5893,1.8371
1987,10,0.6040,-23.1862,-7.4742,3.3505,0.3321,2.5122
1987,11,0.3366,-7.7278,3.2690,0.5934,-0.6684,0.9005
1987,12,0.2988,6.9067,0.2423,-2.4286,3.8977,1.5001
1988,1,0.2762,4.2239,-0.7423,1.3309,-4.0763,-1.7613
1988,2,0.4564,4.7515,3.5110,-0.5970,1.0296,-0.5611
