Phase,Year_Month,R1-RF,R2-RF,R3-RF,R4-RF,R5-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Downturn,2012-01,-0.14830371535204945,0.16183304214814065,0.8547833534069849,1.5871236871939365,2.384404722565181,-1.43,0.8044620668467228,-1.3395,-0.97,-0.574,4.82165444856244,2.7798,-7.91,5.05,-2.01,-0.6313,2.06
Downturn,2012-02,0.9835300160517146,1.1955840273287333,1.4650175106705188,1.796357516271696,1.9651784822791285,-0.01,0.0161861773008142,0.0238,0.43,0.0789,5.141574662549941,-0.6691,-0.29,4.42,-0.48,0.2919,-1.71
Downturn,2012-03,2.130610203621597,2.5949421169851883,2.967077590122491,3.4443015929768395,4.013029568727222,0.74,4.29185929295306,1.8088,1.14,1.4304,-2.2804475260602697,0.7263,1.3,3.11,-0.54,1.6789,-0.47
Downturn,2012-04,0.9676614553830065,1.5048079914491197,1.938143903914824,2.1365979791628575,2.1111348459629475,0.65,1.185618229743035,-0.3846,-0.78,0.8585,-2.295644550591558,-1.0996,3.75,-0.85,1.3,1.0202,-0.55
Downturn,2012-05,-0.9554698639074888,-0.8952941095912947,-1.0126063188154466,-1.4224866348884324,-1.9263343896217766,2.31,1.0229220822441265,2.3605,-1.07,2.6809,-6.091821004037701,-0.8812,6.49,-6.19,2.08,1.6079,-0.12
Downturn,2012-06,2.8736085963353197,2.24542685097211,1.6871971797461471,1.064533498172815,0.532421473821576,0.46,-0.6747352985655986,0.3509,0.62,1.0217,-2.270989584450267,1.4974,-1.06,3.89,-1.09,-1.7619,0.84
Downturn,2012-07,0.7475846875807379,1.0051813189629,1.244654835476866,1.4686431703881508,1.8502019517231183,0.05,-0.7907585651700022,0.9808,-0.02,0.5093,0.4311593147278802,-3.0848,3.04,0.79,1.1,1.5194,-2.78
Downturn,2012-08,0.026473879490039882,0.15537008115993234,0.5049118882340486,0.7751371693798015,1.0687684794705488,-0.84,2.8372350028176285,-0.3883,1.3,-1.4664,2.4279511859642833,1.4204,-2.37,2.55,-1.33,-0.5072,0.44
Downturn,2012-09,1.7447659303004392,1.688519892316086,1.8583785362642036,2.0229296978826463,1.9744934014281668,1.55,-2.4411750305219138,-0.6925,1.6,1.2038,0.4723515330574246,1.1701,-1.14,2.73,-1.49,0.1979,0.61
Downturn,2012-10,-0.9082252301073301,-1.0721920063159318,-1.2996920503308373,-1.4457735228246682,-1.6298050935997688,2.5,-2.6221609347182206,-3.7218,3.59,1.8508,0.070896649548735,0.2241,0.14,-1.76,-1.34,0.4723,-0.89
Downturn,2012-11,0.1962648983249149,0.40849051710212136,0.619119610320461,0.7945897922333678,0.9128599147941718,0.84,1.9761101490115784,0.1868,-0.84,0.7994,1.7970225636860793,0.3716,0.49,0.78,0.6,1.7203,0.46
Downturn,2012-12,-1.0832780725978608,-0.587683702709908,0.0913710058653139,0.8202769788328668,1.530304972681672,0.91,-1.689200663530932,-2.6235,3.51,-0.8369,2.419422874961219,2.4277,-2.86,1.18,-1.85,-1.9895,1.89
Downturn,2013-01,4.588293793948028,4.798020986406781,5.209138389991619,5.632964204812607,6.053383307498161,1.41,-3.877516533021752,-1.6667,0.96,1.5622,0.0165095274255344,0.1975,-1.79,5.57,-1.93,-2.0267,0.48
Downturn,2013-02,3.4781317086026053,3.9032495907130427,4.109606084661288,4.278741482483039,4.488288256174111,0.52,-0.8735951667777409,0.438,0.11,0.7303,-0.4591501691767141,-0.621,1.29,1.29,-0.67,0.0662,-0.25
Downturn,2013-03,5.415908210426168,5.376278742861196,5.2424219791406435,5.203296759720111,5.098381346919201,1.38,-1.6041375894803145,-1.1605,-0.19,1.292,0.3767085646648072,1.0729,1.92,4.03,0.14,0.5017,0.85
Downturn,2014-08,3.709723480024718,3.6846989190078228,3.597105563541736,3.6354564257264466,3.943669927093474,-0.7,-0.2248995635334982,0.233,-0.45,-0.9247,2.127695818203912,0.4495,0.82,4.24,-0.64,0.1376,0.31
Downturn,2014-09,-1.8422267529562886,-1.3548620358740715,-0.9873151342860376,-0.6195121788628466,-0.27717889710694443,-0.51,3.357294058054938,2.1813,-1.34,-0.3101,-2.489517315254164,-3.1026,0.5,-1.97,1.3,3.0633,-3.72
Downturn,2014-10,4.470178559595106,4.9216472538983425,5.588360760820299,6.304685644318764,7.096322411694378,-0.11,2.8379330009757453,-0.1556,-1.81,0.5283,-5.704300930221439,3.6151,-0.06,2.52,-0.57,1.6899,3.73
Downturn,2014-11,2.6925446144224097,3.1153884696275114,3.379182582078033,3.500898660270013,3.6306264644988095,0.27,3.7064884116492,0.4493,-3.09,0.3424,1.2880959658987834,-1.9772,0.69,2.55,1.5,2.5253,-2.28
Downturn,2014-12,0.6480614643817217,1.0513406440133988,1.507060347064626,2.0150246441617004,2.7751868983411088,0.96,0.9023527741374826,0.2993,2.27,0.4723,-2.4975487274247476,2.7694,1.12,-0.06,-1.22,-0.6556,2.86
Downturn,2015-01,1.2190390920091332,1.1478865517636327,0.992322009616764,0.9221662321186264,1.1880363073965894,-1.65,3.069967773668303,1.4078,-3.58,-1.0729,0.0317907267895378,-1.5792,3.84,-3.11,1.61,-0.3707,-0.92
Downturn,2015-02,1.8497012569821614,2.4896905485073617,3.172560069055108,3.9452724334164024,4.784688610888899,-1.82,3.109412815950807,-0.9756,-1.86,-1.3938,3.368302318987615,0.816,-2.82,6.13,-1.12,0.0837,0.32
Downturn,2015-03,-0.4814412777790267,-0.31004856228309396,-0.11771101038740017,0.2579519658768126,0.8966820994310121,-0.52,4.413408904064142,-0.0421,-0.37,-0.2615,-2.0479611792829644,2.8163,2.74,-1.12,0.09,0.8338,3.07
Downturn,2015-04,-1.2901661078555282,-1.556157127055291,-1.5824136975594927,-1.5951284843563118,-1.9364743906422066,-0.61,-3.823195028475901,-0.2287,1.82,-0.8011,3.3606038826468954,-3.7918,-7.27,0.59,0.06,-2.1972,-3.09
Downturn,2015-05,0.7910450642836464,0.8845322207697404,0.9534825021863425,1.0723332887819126,1.3660930984540576,-0.74,4.275301448929625,0.2946,-1.14,-0.612,-0.6640406288843326,1.735,5.82,1.36,-1.79,1.4466,0.83
Downturn,2015-06,-2.0725368703610303,-1.5851834701691603,-1.0192399471898317,-0.3723444175595447,0.4311725017822621,-1.58,4.170292946752263,-0.7174,-0.79,-2.4461,-1.4973780471771891,2.8606,3.01,-1.53,0.44,1.2477,2.9
Downturn,2015-07,3.036355800983914,3.3330073236294444,3.530869294362038,3.7878993674844708,4.201326937631467,-2.41,4.675665034943877,2.583,-4.13,-2.7296,-4.285348520693121,-4.0748,9.98,1.54,0.3,4.3509,-4.55
Downturn,2015-08,-3.192141318079378,-3.0557459836845324,-3.061317093509086,-3.1788381528061294,-3.255102484907635,1.19,-3.1707350571423043,0.2619,2.77,1.1632,0.4328305780020969,0.5006,-2.09,-6.04,0.68,0.7598,0.25
Downturn,2015-09,0.6349051175094544,0.9714392226169544,1.104465618716577,1.1358005792841297,1.0194924475591893,-0.58,3.1450836372642677,3.4773,0.56,0.3072,-7.297821496482437,-3.3796,5.22,-3.07,1.77,4.2729,-2.79
Downturn,2015-10,4.612000662886628,5.056840633952175,5.617401147578738,6.179619080387444,6.90104902894928,0.52,0.159461978826747,1.0362,-0.46,0.6524,-0.878052172013144,-2.7651,-3.28,7.75,0.88,-2.314,-2.07
Downturn,2015-11,-0.5539103383438326,-0.12117639754273268,0.4821091160824187,1.1633341320364199,1.9696084661871227,-0.99,1.793452887636593,0.4651,-0.42,-0.5479,-0.2579853839558721,3.4655,2.28,0.56,-2.75,-1.7097,3.31
Downturn,2015-12,0.6957372010618179,0.8923455353726728,0.8586600376747622,0.7349172232709023,0.5380588151095311,-0.02,0.4987024743205115,3.3336,-2.61,0.328,-2.2642622832800163,-2.0946,3.36,-2.17,0.5,2.9435,-2.99
Downturn,2016-01,0.8637161485892653,1.1883317389466341,1.0654792157901427,0.7408212375469281,0.1526057615197185,3.08,3.105411318813034,4.7834,2.09,2.7736,-4.672863545189021,-2.8171,1.44,-5.77,2.82,5.3293,-3.47
Downturn,2016-02,1.7787723665834787,1.7578553505507721,1.5849119591643457,1.3109015007268776,0.7886472056252125,2.02,-0.8857646404494712,-0.1345,-0.57,1.7188,3.5302948619017727,0.4861,-4.38,-0.07,3.25,2.0303,0.88
Downturn,2016-03,4.674490255173989,4.5394632510682635,4.52527951873196,4.528121490179469,4.454887636821268,-0.08,-5.927953843446354,-2.7531,1.19,-0.7057,4.464578352052873,1.0386,-5.01,6.96,0.77,-2.1273,1.07
Downturn,2016-04,-0.14376965296724165,-0.56443984148833,-0.6637847335263747,-0.7536718966354783,-0.6443824792186092,1.9,-5.5384113780729605,-5.236,3.28,1.2916,2.79471495129191,0.1069,-6.02,0.91,-2.97,-7.2338,1.23
Downturn,2016-05,1.4184646136152324,1.8212209006992042,2.2924086975407922,2.908759304612273,3.6167514284341165,-2.48,3.067503986779218,2.2551,-1.66,-2.2596,-2.5162182800221533,-0.501,1.42,1.78,-1.09,0.9368,-0.61
Downturn,2016-06,6.196803109839875,6.4007714999146685,6.37808660940775,6.095168519722447,5.387009782272266,1.94,-2.8617735052972604,-0.8264,-1.48,0.4911,-2.4020664229290167,-0.3369,4.13,-0.05,1.4,0.273,0.45
Downturn,2016-07,0.6063834128399592,0.8063385027044601,1.15164873067368,1.6287725669637854,2.2556176117164184,-1.18,0.6794689137420207,2.2562,-1.32,-2.1903,5.051852385589184,2.3302,-3.34,3.95,1.26,-0.5211,2.48
Downturn,2016-08,-3.31718932801486,-2.8890322338597807,-2.2002737358165847,-1.5636210509721549,-0.8553206815184033,-0.34,1.1348209938167209,-0.3905,3.18,-0.2318,0.2625129456340636,0.9735,-3.49,0.49,-1.85,-2.3925,1.68
Downturn,2016-09,-1.6106565367480363,-1.6295097309809847,-1.6412702687529945,-1.6659469063657584,-1.5946083354634677,0.03,-3.213995095757549,-0.9288,-1.24,0.2096,0.8354950925704152,1.0162,0.19,0.25,-2.21,-3.078,1.85
Downturn,2016-10,-2.10696811292044,-2.287490956225049,-2.758296104787874,-3.147036291469698,-3.5129588371552134,0.28,-1.7280762288864882,2.029,4.09,0.869,-1.7817991390682075,-3.4301,0.59,-2.02,0.93,3.0152,-4.02
Downturn,2016-11,0.48511843096421425,0.8243579869329876,1.3944952717633619,2.1869036979734737,3.2406253803382015,3.7,-0.3480069477760583,-2.5338,8.21,2.978,3.0223057079978632,6.5782,-4.62,4.86,-0.18,-0.971,7.07
Downturn,2018-10,0.005130115314734451,1.2247639581831407,2.0688829659052623,2.470290223980777,2.573081609955864,3.59,-2.770986174749035,-0.7543,3.4,4.1724,-4.247503065195668,-4.7513,-1.99,-7.68,0.94,1.2653,-4.46
Downturn,2018-11,3.088954359544529,3.268799481189635,3.1585406659320436,3.2239870523904446,3.1390524907620976,0.39,-0.9712125419811036,2.7784,0.3,-0.9826,-2.5244672440902893,-0.7807,-1.37,1.69,-0.55,0.6932,-0.77
Downturn,2018-12,-6.988316219599178,-6.5240417683484875,-6.269339071070212,-6.049785843837474,-5.853153318125304,0.21,1.7499923493396352,2.4925,-1.84,-0.8421,-5.239448638481015,-3.0346,2.11,-9.57,-0.02,1.2754,-2.88
Downturn,2019-01,5.329021153179102,5.317051265163729,5.366768948784694,5.455067622246589,5.692555212977734,-1.51,-1.9652823157236152,-7.1445,-0.46,-0.9971,3.340758882717365,2.0507,-8.68,8.4,-0.8,-3.9593,3.03
Downturn,2019-02,2.7507968435122065,3.5169650627597826,4.492777302794429,5.389774688502394,5.934930160763455,-1.59,4.539507655061525,1.3807,-2.67,-2.5881,0.8221468674702637,1.1925,0.86,3.4,0.12,0.527,1.74
Downturn,2019-03,2.4021257527049324,2.857186648810496,3.2068294383926568,3.212166361715442,3.0210535821753495,-0.95,1.1652716807979413,0.6648,-4.17,-0.4832,-0.1679286130753077,-3.4388,2.21,1.1,0.9,0.0942,-3.51
Downturn,2019-04,1.8614803272211091,2.00666027413312,2.4829788332471727,2.974174116646865,3.576216350067928,-2.22,3.09289754408395,1.0612,2.15,-2.4268,-1.2777186739994506,-0.2524,-2.97,3.97,1.61,1.8378,-1.17
Downturn,2019-05,-3.174819884731684,-2.0165199338680893,-0.965949412872714,-0.10607092111314478,0.5816416237199853,1.77,2.0844908865896628,0.171,-2.37,1.5221,-9.027856797523835,-1.9174,7.56,-6.94,-0.46,0.6472,-1.59
Downturn,2019-06,4.466716264070028,4.6184383245636145,5.1320875134886395,5.579730864156443,5.911767172182228,-0.44,1.5119563544770287,-0.4102,-0.71,-0.2681,1.9017590597837144,-0.43,-2.3,6.93,0.9,-0.1339,0.37
Downturn,2019-07,1.2614160661665221,1.3221185106739655,1.5653601276125486,1.8369319754514737,2.2237726023513162,0.36,1.9057686857290037,1.3001,0.48,0.1745,-0.5569422941928304,-1.6351,2.89,1.19,-0.08,0.4834,-1.78
Downturn,2019-08,1.1162745845641189,2.3667393450461027,3.230916595341986,3.6989907762319296,4.058823336896649,-0.68,4.751451595718459,1.5138,-4.78,-1.0153,-6.4521416619435445,-4.209,6.92,-2.58,0.56,1.8765,-3.24
Downturn,2021-06,-0.36896176383149903,-0.3692011424808461,-0.26201564601687766,0.39389230410515896,0.9571010052471074,-0.94,4.067020116194464,3.6784,-7.87,-2.5541,4.02761822672697,-0.1273,2.2,2.75,-2.14,-1.2674,-0.34
Downturn,2021-07,-0.6280481904174184,-0.624255646829408,-0.5728641532813494,-0.24238529941803533,0.06737988285974161,-0.52,6.270420991069892,5.3209,-1.78,-1.5395,-7.024098978826343,-3.0131,-2.28,1.27,5.46,7.473,-4.61
Downturn,2021-08,2.2892163833181156,2.2883257432544157,2.2922310089943165,2.693863452211942,3.165326108218025,-1.79,1.808448720353395,2.3736,-0.15,-2.054,0.9826981998472428,-0.7712,2.45,2.91,-0.28,1.2468,-0.68
Downturn,2021-09,-2.7102160609697834,-2.7143732234239826,-2.7031104594065214,-2.4946885732124557,-2.2675453731554995,2.1,-4.428056713456741,-4.6872,5.08,3.2832,3.749633690570065,0.7796,1.49,-4.37,-1.96,-1.7584,1.12
Downturn,2021-10,1.3932909737540689,1.3944669983366742,1.4763996712288785,1.7840844069234585,2.1004730261713345,-1.45,4.545933721781359,3.3914,-0.49,-2.2802,-0.3345310689153224,-1.9889,3.19,6.65,1.66,3.3116,-2.7
Downturn,2021-11,-0.3458439365695565,-0.34552923436955707,-0.23305278134782004,-0.06091207455602987,-0.031314064017351484,1.73,3.350531174189042,4.796,-0.45,-0.3591,0.2750578619560295,-0.6214,0.88,-1.55,7.2,8.3907,-1.77
Downturn,2021-12,1.8934951387399745,1.893609831209141,1.9279270541748372,2.2791576322560783,2.6441446696602746,4.4,-1.7553716285167664,1.2502,3.26,5.2655,-3.8135955899940233,-0.5947,-2.6,3.1,4.91,3.7494,-0.8
Downturn,2022-01,-2.0575283456500837,-2.0590930226548454,-2.0333086068731743,-1.9768945762976942,-1.9447747363817935,7.72,-9.097125798541516,-3.3889,12.75,10.3845,-2.1399397975201073,-3.734,-2.6,-6.25,0.84,0.7958,-4.06
Downturn,2022-02,0.9606712505953574,0.961686749786228,1.0748001637995497,1.7106345661543898,2.2172407374279057,3.12,-4.105003916048455,-4.2422,3.08,3.6933,5.138075038187173,3.1876,1.76,-2.29,-2.09,-2.3836,2.92
Downturn,2022-03,2.7496823582843213,2.7510316446162077,2.850041176133921,3.432579459859352,4.0753694464699555,3.14,-2.903085798806271,-1.4303,-1.81,3.2339,1.38533502799858,-1.8472,3.01,3.05,-1.53,-0.112,-2.17
Downturn,2022-04,-2.4923364181309924,-2.4934989196318433,-2.37356770932149,-1.7462996296662714,-1.2185880627532575,5.89,-2.5204759747530225,0.0161,6.17,6.0285,-1.5326460995891522,0.8844,4.87,-9.46,3.52,4.6841,-0.39
Downturn,2022-05,1.6680159894037339,1.665763563569641,1.8514645800103946,2.4065798635362037,2.7473833687438245,3.97,-0.2906954902137437,1.2622,8.39,5.733,-0.3237487248073489,0.807,2.43,-0.34,1.56,1.064,-0.06
Downturn,2022-06,-1.5562743134727008,-1.5611781161913152,-1.4550499639501235,-1.0735471915245998,-0.8003866846357521,-4.69,8.042156412039404,1.4046,-5.97,-5.6119,-9.853175655129595,0.6968,0.75,-8.43,1.81,1.0063,1.3
