Phase,Year_Week,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Expansion,1994-37,0.5864183655435397,1.0685575632616295,1.5589823261044078,-0.3198996145856725,0.857013627893477,0.278,-0.8980726360253599,-0.2766,1.747892480698332,0.7642,0.8224442727382542,0.7331110923525674,0.1895854018671761,1.0328,0.6795251597942364,-1.962581305090301,0.23119769382449087,-0.202820018020338,0.37154110644121013,-0.09066009952699938,1.1447955655798876,0.375667244363802
Expansion,1994-38,-2.4218134309656025,-2.9216958211418453,-3.409363350353567,0.5911196487984105,-1.4555168117897477,0.04,0.3000055267105228,0.4635,-2.521225420377915,0.0198,0.0297768152730304,-2.5301093931880514,-0.10020794616864,-0.5495,0.3789333576716736,3.41700706281965,-1.0982321616504125,-2.18318429017228,-0.2476381741905057,-0.8202276392193543,-1.0754242453224345,0.15004742300691415
Expansion,1994-39,0.9164492232637046,0.8007756056769734,0.6729729846702394,0.2497471969020281,2.527633952026753,0.9214,-0.8480962474559095,0.0544,-1.1128108904347678,0.0305,0.2101390170870409,0.7901375740746452,0.6209085738743125,0.3863,0.3069143064339252,-0.45990787655246207,2.109384007511048,-0.8251102497460286,0.14068213566540133,-0.08007667202591574,-0.29094521976552523,-1.684051817462298
Expansion,1996-05,10.110256749025991,14.13748318010657,19.28558652107075,-0.7084924387933955,1.2150241822975083,-0.3205,-0.7799453084998964,-0.6574,1.3128202899366226,0.0135,0.0478465522499638,2.275975401331043,-0.449672383161992,0.1876,-0.4814787151986022,-2.0729750707879786,0.9270020420424684,1.6011204225698032,-0.18122247855062767,-0.6891837289961252,0.01694231121417933,-0.3556964482963729
Expansion,1996-06,2.051371181019168,2.4412986090396998,2.759258700965561,-0.2610521878496197,0.1111098374608765,0.9617,-0.3705799027769463,-0.1271,1.051342126602206,-1.844,0.4306714938744571,2.686566998851303,0.8916539490130937,1.7145,-1.897444211918431,-0.23118716302445358,2.7049858205327544,2.745960764127366,-0.8834930834698275,0.2117753089856983,1.0670170843556042,1.1230965014611298
Expansion,1996-07,-0.0692142079351309,-0.0721633608277371,-0.2060129878221128,-0.2106556523414071,0.5442021167425759,-0.4043,0.700915004619973,-0.1091,-0.8132758291604314,1.3594,-0.1221034181034697,-0.8205730414818979,-0.5592954691548191,-0.8283,1.1373391401350297,0.2795442782553107,-1.3128573321223662,-1.5658766253648162,0.1292119782119386,-0.38414005802759976,-0.6308095184448722,-1.2107887222377216
Expansion,1996-08,0.7757324364914719,1.3078385930305414,1.902166159671359,-1.1752045804640954,1.0519413942878142,0.434,-1.1371833904149975,-0.9281,2.8386155893543874,-0.3883,0.4390171959284039,1.640048949025985,-0.0601089526035991,1.2586,-0.5211187453899813,-2.605468321047196,1.3082683727702629,1.6059275179130037,0.8213490257500732,-0.4598940014687496,1.0714514109638158,1.2038394866969298
Expansion,1996-09,-1.1199656065986383,-1.3582124598315426,-1.7071222902146022,0.8012247412787943,-2.284653493476352,-0.1045,1.214963008843739,1.2496,-2.99460536415731,2.5303,0.2197881360984199,-2.018178737410325,0.3802187499607035,0.542,1.999609573761174,3.378591063519873,-2.7244683524972544,-3.4279106540814603,-1.3986358781096047,-0.1944455182410445,1.0734249162917955,-1.220072802116972
Expansion,1996-10,-0.6057042484884478,-0.7538382635423169,-0.9645253720032888,-0.5306509850521612,1.4446171410389177,-0.8168,-0.4105966437592423,-0.8398,-0.8202361307203088,-0.5379,-1.7542924446863115,-1.5484598401762084,0.2589377623118061,-0.1668,-0.0949609548427377,1.21272634328105,0.6382927413864278,-0.46783670074198414,2.2655072416199533,-0.9197223677158695,-0.993398712410159,-1.0648889101530337
Expansion,1996-11,1.511386451218821,2.2734510183687773,3.098857590568272,-0.6302851811163745,2.750810943268722,-0.1866,-1.4462189952179183,-0.3689,5.082750862218788,0.7487,-1.0376283316205217,1.4328961905202051,-0.3615009860495788,1.2498,0.5907220268547064,-4.608539158091035,0.04753343289362991,1.8870701224407656,3.00359677074784,0.6802743888714478,1.0981077709441442,-0.002384521531845485
Expansion,1996-12,1.020193525086199,0.9795156876060808,0.8423036090739799,0.1396575409264411,0.8388169043417992,-0.0733,0.5301919899842522,0.1133,-2.708751896895434,0.4768,1.0641160462272037,1.1450608283020802,0.6810246214238314,-0.1634,0.2368165139264189,0.9082577480434337,1.172220781440818,-1.188141544121905,-2.099983964413788,-0.26837064418410045,-0.18459554758303898,-1.7732164268195483
Expansion,1996-13,-0.1111927345599505,0.0814047690165687,0.0764114868456733,-0.4401989599633338,-1.0932662159412798,-0.2954,1.1318515896961756,-0.1978,0.3047239134061685,1.5013,-0.1704624121447673,-0.530239533409127,0.3993504662191061,-0.4979,1.258013388222734,0.5566370424832221,-2.2116823725192645,-0.7141027999863138,-0.026456060573098617,-0.29070625334774763,0.9863476498937259,-0.23600844002847465
Expansion,1996-14,1.132057296006295,1.402572066594776,1.7067168069955452,0.3704031178837885,0.1596316000551656,1.0392,-0.4992174085351908,0.9996,0.1643748914048837,0.3604,0.960970211129597,1.4243653639356646,0.1873504648731705,0.8377,-0.0528132572800044,-0.421631768318975,0.6618493633315253,0.12723606207394617,-1.1850976277117053,0.28042493922046396,0.5880364132443958,-0.002743917756587562
Expansion,1996-15,-1.6038541760767688,-0.8681643799182237,-0.001041572093574,0.089321731637515,1.9500467707721287,-0.2605,-0.610874671304229,-0.7478,3.539346829509471,1.6487,-2.138214441213659,-2.689386540311922,-0.0205069399328405,0.5787,1.90880655079404,-1.796144553203944,-2.0616883337132883,-1.0217308517865402,4.906365143374452,0.542005057790698,0.6987511563190785,-0.29311668723340434
Expansion,1996-16,1.3536926119336323,1.724745737629951,2.0674618780173626,-0.927230319771044,2.593226055882858,0.7882,-1.56323999512884,-0.7739,0.9730828789620284,1.1609,0.089452537402912,1.504194201180642,0.5007023208450478,0.9293,1.1847583930174157,-2.7465254089450317,1.4054634321856865,-0.4102770439469403,0.9585980287397132,-0.8138109671419056,1.2534661776992455,-1.4412295929058785
Expansion,1996-17,1.7377023185409124,3.0754280793811484,4.499015565894271,-1.2442702682301854,2.9954579610719456,-0.1782,-1.0964384667863205,-1.1171,4.759568189195207,1.4778,-0.7109872943044659,1.7709653262409475,-0.9072465577932732,0.5592,1.1145152143795078,-5.328575128290939,-0.3520831397385945,1.415784622958684,2.5659304176297733,0.022742452013627276,0.9557753942782362,-0.5080833242775433
Expansion,1996-18,-0.7860353039954249,-1.0779737679462054,-1.2639823151444296,0.2493525733864299,0.1365084469858057,-0.3382,-0.3398506566136938,-0.1366,1.694760237447812,1.9448,-0.8495738236944161,-1.3837849202670505,-0.2705937376890954,-0.3773,2.09630246071586,-0.920548424060413,-2.7172861876396035,-1.1884400310792358,1.8781327451691203,-0.2635833826829699,0.47552560543918465,-0.475304823392928
Expansion,1996-19,0.6607357300738803,0.2718371018150423,-0.1398967761835678,0.0791179604746838,3.890135583691512,-0.3329,0.2184639754268635,1.084,-1.2104122532732409,0.556,1.577059238583045,1.3804072670582368,0.1875567997380978,1.1067,-0.2670563007450943,-1.4461449187906248,2.819367958001783,-1.4066600874755695,-1.0375311882705112,1.6350176149851643,-0.6406608654005695,-2.086325308973387
Expansion,1996-20,1.9409400700589383,2.9359714803214976,4.026047571387181,-0.9285157678839528,1.3777155516398798,-0.6886,-1.0972646076274573,-0.7491,2.1125119406119497,0.3911,0.6514493400368027,2.631418810597941,0.2500336310568229,0.5958,0.368599743382636,-3.1306178096519295,0.8201625407387307,1.319097221999003,-0.21334427427307212,-0.5515533625467811,1.086544483055564,-0.2684000054795471
Expansion,1996-21,-0.0402017494759876,-0.4284039572830411,-0.8289348241137251,0.7805090160263539,-1.2706490258188263,-0.255,0.2077267633045165,1.3659,-3.364301522306967,0.8702,1.1441558053075562,1.1219487465874425,-0.0706673414045733,0.5789,0.419873676463478,2.109594005666106,-0.08038296511107246,-1.3273254095359897,-3.356547118991166,-0.5129065069894788,0.06147176327692967,-1.3944426499176479
Expansion,1996-22,-1.042014914574041,-0.7276781191513537,-0.4057992537988219,-0.6698693734240702,2.250162809073286,-0.0117,0.0475341012778463,-0.7431,2.599982804196,0.8618,-0.9375505541127982,-1.24001267135736,0.1089346239167898,-0.2806,0.8300399955039728,-1.8556895713980113,-0.6482658715864048,-0.3865546492508565,3.128818446170097,0.47156836353561793,0.05146985381974087,-0.1991792231088145
Expansion,1996-23,-0.3062123615478417,-0.3101491938720557,-0.3726505325142847,0.2488553965656059,2.242639790298351,0.573,-0.0137756032274838,0.3716,-1.348556543405166,-1.3939,0.5593846621761989,0.1617358170274085,1.2454144245788834,0.0495,-1.2461555423807558,0.9201220672182571,2.9386440409669197,-0.25820087041495204,-0.006048262212499978,0.7222203071758759,-1.025242907129987,-0.5504440063579229
Expansion,1996-24,-1.1735833027814555,-1.3644562709423491,-1.631157958652818,0.3599845665245516,0.2418966747412154,-0.4143,1.1041856409057085,0.8762,-0.4373849780669125,0.2128,0.3595945286968049,-1.0559977723642031,0.8722467864775041,-0.1599,0.2483853622987863,1.279142870349521,-0.43969556232978213,-1.056020249887293,0.004410641576058793,1.09073021531877,-0.14723626224984473,-0.17186165856714586
