Date,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1967-08-01,0.0141,0.6211,-0.2982,0.0936,-0.445,-0.1798
1967-08-02,0.0141,0.337,-0.5656,0.1602,0.1213,-0.4936
1967-08-03,0.0141,-0.1771,-0.0874,0.038,0.1836,-0.0023
1967-08-04,0.0141,0.2577,0.3811,-0.3622,-0.31,-0.1606
1967-08-07,0.0141,-0.16,0.2074,0.0024,-0.012,0.0374
1967-08-08,0.0141,0.0892,-0.1051,0.3215,-0.1242,0.0956
1967-08-09,0.0141,0.1066,-0.1203,0.2528,-0.1362,-0.1716
1967-08-10,0.0141,-0.2659,0.0173,0.5842,0.0515,0.2242
1967-08-11,0.0141,-0.4753,-0.1089,0.2882,0.1402,0.1805
1967-08-14,0.0141,-0.4958,-0.2218,0.4229,0.3592,-0.0374
1967-08-15,0.0141,0.1045,0.0178,0.0401,-0.2122,0.1989
1967-08-16,0.0141,-0.247,-0.0247,-0.2432,-0.2536,0.3587
1967-08-17,0.0141,0.1247,0.186,0.3803,0.0081,-0.0783
1967-08-18,0.0141,0.1659,0.3259,0.1928,-0.0282,0.1083
1967-08-21,0.0141,-0.4975,0.1453,-0.0052,-0.1143,-0.1482
1967-08-22,0.0141,-0.5429,-0.0174,0.0947,0.0387,0.0481
1967-08-23,0.0141,-0.1036,-0.1154,-0.4664,-0.113,0.2149
1967-08-24,0.0141,-0.5232,0.3004,0.4283,-0.023,-0.1069
1967-08-25,0.0141,-0.4229,-0.1738,-0.0812,0.1634,-0.036
1967-08-28,0.0141,0.0296,0.2454,0.1571,0.0598,0.2556
1967-08-29,0.0141,0.2505,-0.0928,0.0967,0.0286,-0.1201
1967-08-30,0.0141,0.2834,0.4043,-0.4008,0.1287,-0.0008
1967-08-31,0.0141,0.6444,0.0728,-0.0657,-0.1216,-0.1335
1967-09-01,0.0159,0.1492,0.4555,-0.3568,-0.2199,0.2805
1967-09-05,0.0159,0.533,-0.134,0.2109,0.1835,-0.1615
1967-09-06,0.0159,0.1711,0.1127,0.0631,0.0083,0.0285
1967-09-07,0.0159,-0.0586,-0.0332,-0.0663,-0.1066,-0.0301
1967-09-08,0.0159,0.0121,0.4245,0.1297,0.0612,-0.0936
1967-09-11,0.0159,0.1532,0.17,-0.056,0.2828,-0.1633
1967-09-12,0.0159,0.4941,-0.0629,-0.344,-0.276,-0.4391
