Phase,Year_Month,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Expansion,1996-07,-5.898488178180999,-5.7080960908016225,-5.730037474799304,2.6,-1.441298936694979,2.9393,5.14,2.0165,-2.6307848604368633,-3.3585,-0.16,-5.97,2.95,2.415,-3.81
Expansion,1996-08,3.914593388104203,5.109412587031347,6.689078639301415,-2.42,2.4421789729730525,-1.3704,-0.74,-1.8529,6.124460912850216,2.4811,0.01,2.77,-0.37,0.1305,2.57
Expansion,1996-09,2.9125375848837414,4.281302797100213,5.779255974519799,-2.22,2.8645544826336744,2.9315,-2.72,-1.7381,4.5326228188907525,-1.4457,2.7,5.01,1.27,2.2071,-1.39
Expansion,1996-10,-0.2427757530184778,-0.3317400672300926,-0.3166508458008606,3.25,4.169968632535692,3.2184,4.94,3.6633,-2.144743160345075,-2.4195,3.79,0.86,1.4,1.8831,-3.77
Expansion,1996-11,4.891094752531177,6.429780766926506,7.899483473824075,-0.79,-1.0622693846109366,5.389,1.39,-1.3109,6.730712975230735,-3.5327,-2.37,6.25,2.12,0.8165,-3.8
Expansion,1996-12,0.3371766470884711,1.0830222193686172,1.8963568454752604,1.49,-0.5023936771914594,1.7538,1.31,1.2254,-1.5014577612847857,3.3237,0.63,-1.7,0.37,0.9371,3.25
Expansion,1997-01,1.1262554810261343,2.6242702513616436,4.312049134206014,-0.02,3.0717862045438693,2.5674,-1.42,-0.6466,3.934201014730676,-0.795,1.96,4.99,1.19,1.8159,-1.82
Expansion,1997-02,0.39227617797004266,0.3793209556921543,0.24474054475149976,3.47,1.5464127370933722,0.6426,5.67,2.9153,-3.882613262804002,-2.4667,-2.13,-0.49,0.67,-1.5374,-2.59
Expansion,1997-03,-2.17410061166318,-1.55681845473509,-0.6671886440747261,1.66,-4.53792634683976,0.2068,3.39,1.7515,2.485234052483243,-0.5279,0.9,-5.03,0.5,1.7708,-0.43
Expansion,1997-04,1.5834286069107166,2.6443562600422212,3.2164974521437375,-0.72,6.266140223134675,2.9932,0.07,-1.8801,0.4885939804601502,-4.7258,4.84,4.04,3.26,3.8599,-5.7
Expansion,1997-05,6.052249295414248,6.528499370474518,7.068104741517879,-2.96,-0.5114666631915399,-1.4972,-4.13,-3.2305,3.8615321637921474,5.0194,-5.17,6.74,-1.02,-0.2201,4.75
Expansion,1997-06,2.837846398894709,2.895781726258443,2.63589746479174,0.66,-0.1460703323589274,0.1107,1.58,0.2313,-2.931719276110911,1.0326,2.6,4.1,0.56,2.1092,1.19
Expansion,1997-07,5.086427365585974,6.0871084622277944,7.0821277611773565,-2.58,-1.0392154655299524,1.2829,0.26,-3.0399,9.104892956045884,-1.4173,3.77,7.33,0.07,1.2853,-2.76
Expansion,1997-08,-0.7337940116907811,-0.1928938669804488,0.24414956537850346,-0.04,-0.4205561017029957,0.4401,1.18,-0.7059,6.75948375678832,7.4961,-2.56,-4.15,-1.11,-1.4198,7.61
Expansion,1997-09,4.516279336767899,4.160144152506158,3.4119353924983513,-0.91,1.80948797736904,-2.6061,0.37,-0.1259,-0.7590388478233456,2.435,1.47,5.35,-1.63,-1.0418,2.49
Expansion,1997-10,-3.5180786744037036,-4.168719252176258,-4.99847742713966,1.94,-1.894113731708713,-1.4187,2.27,2.6609,-6.165645343652681,-1.0927,-0.57,-3.8,1.0,-1.0477,-0.52
Expansion,1999-04,10.490300475941842,11.24981776140535,11.625992154120262,0.89,-12.086954679245554,0.4435,2.46,2.6555,1.1767178671989065,3.9806,-9.04,4.33,-2.53,-5.152,4.52
Expansion,1999-05,1.7936283091287322,2.2937858149710237,2.8864115737940415,3.34,-0.6948369837933566,1.8903,2.35,0.4504,-1.294200171358617,4.945,-5.19,-2.46,0.93,0.6804,3.71
Expansion,1999-06,2.5559120457930633,4.1174454836856444,5.443428501371228,-3.21,17.907053552489806,4.329,-3.19,-2.1112,8.020021409811505,3.1512,5.06,4.77,1.13,2.391,2.29
Expansion,1999-07,-1.8178991349270341,-0.9770970154989486,0.17831436312867577,3.22,1.8092071912667815,1.9786,-0.44,3.4338,3.648717603568796,2.264,1.66,-3.49,0.36,1.0281,2.57
Expansion,1999-08,-3.2657812501775005,-2.192772812047371,-0.9319103818973703,0.64,-0.0191767493953665,4.6299,-1.87,-1.1989,2.801749129146369,-1.5497,3.12,-1.38,-0.24,-0.0297,-1.73
Expansion,1999-09,-2.625704358742874,-2.0324556940668135,-1.8016705910712791,-1.23,1.046888977179905,-1.0359,-3.49,-1.3826,3.1382076667684444,1.7307,6.47,-2.79,-0.75,-0.1695,2.59
Expansion,1999-10,-0.34278902949931156,0.46361041711367046,1.255701262878174,-1.19,4.9821476456901825,1.7882,-3.37,0.3316,-2.136363643520156,-5.6493,5.5,6.12,-1.74,2.0317,-6.91
Expansion,1999-11,-0.7140636055978874,0.7545037488643705,2.0191515548246435,-1.74,0.328297094667751,1.1586,-6.12,-3.931,9.90455549296736,5.7518,5.64,3.37,-4.28,-3.0073,5.8
Expansion,1999-12,0.6675128192238327,2.9520142151721234,5.403119966694199,-5.63,12.724433546132351,-0.6029,-8.33,-5.4904,12.880978718121884,4.1765,13.22,7.72,-7.6,-5.4444,5.39
Expansion,2000-01,-3.9954220645420655,-3.6039089533695288,-2.8119503768817897,4.72,8.865629818250342,0.6319,-1.88,2.9355,3.654747393231217,5.6171,1.92,-4.74,-6.29,-4.9998,4.42
Expansion,2000-02,-3.3513767726507635,0.7910441939952022,5.55977781783463,-0.48,28.373960332251393,-3.1144,-9.59,-5.3931,26.96077667224923,22.1445,18.2,2.45,-18.65,-7.5531,18.28
Expansion,2000-03,10.702353970896665,13.14590777196202,15.74704342117638,-1.59,0.3455895168650524,3.5075,8.13,1.835,3.195119718861972,-14.402,-6.83,5.2,11.79,7.6849,-15.32
Expansion,2000-04,2.8563608553387514,3.4579327653761753,4.188833527155016,5.65,-2.945694221052908,5.1049,7.26,3.7873,-2.4159092570433804,-4.8609,-8.39,-6.4,7.66,8.7094,-5.01
Expansion,2002-05,-0.5594367341332828,0.7808596031774041,1.5445635336263153,2.44,2.8331831576041244,0.6156,1.53,2.1865,-2.4435859804026516,-3.1795,3.16,-1.38,2.36,1.8111,-3.02
Expansion,2002-06,-3.358406645319892,-1.824030633003618,-1.5978743781660119,2.51,4.365270230608931,0.5052,-0.05,3.5485,-7.891804986806705,3.5661,6.03,-7.21,3.93,4.9409,3.89
Expansion,2002-07,-3.595786921670235,-3.606308811598374,-4.915461237907476,-0.99,5.823910273196553,4.9683,-3.85,1.9786,-6.534838382829844,-6.3911,3.77,-8.18,3.79,6.7016,-6.43
Expansion,2002-08,2.1245038063481725,2.5705459031843136,3.325857018768803,-1.47,-3.7631694943890626,-1.7192,3.28,-0.8574,0.0240048063535391,0.0007,1.9,0.5,1.36,2.5491,-1.31
Expansion,2002-09,-3.6398313932629534,-2.963426106422311,-3.0630961172721727,-2.19,7.381920536988251,1.1299,1.47,-2.1364,-3.728262023125694,3.12,9.13,-10.35,3.29,4.4049,3.08
Expansion,2002-10,-0.9675537070226768,0.4600987681988201,1.5749699460213828,0.76,4.670856486059671,1.5123,-3.95,0.2843,7.8012387480015155,-5.1206,-5.58,7.84,-3.39,-4.5614,-4.31
Expansion,2002-11,1.5353563850648433,1.7953102250108355,2.8289808460283927,5.15,-6.994525216634151,-3.1022,-1.23,3.2719,16.044160891285088,1.496,-16.33,5.96,-9.2,-11.1725,2.91
Expansion,2002-12,-0.3913715366612901,0.6885552739822488,1.1200113560021807,-1.68,0.3636012080708184,2.2776,2.14,-2.2589,-8.250662413890819,0.0671,9.64,-5.76,6.29,5.3188,0.62
Expansion,2003-01,-1.3462240412526194,-1.1149691864612454,-1.0797680445421176,0.69,-0.219967007880717,0.7808,-0.83,0.6982,-0.5423742978839852,-0.9824,1.55,-2.57,-0.99,-0.589,0.7
Expansion,2003-06,1.6955489311085592,2.822237170067543,4.6629488037496785,-0.38,0.9902220552252984,-0.1291,0.11,-1.0629,-1.806959322554136,2.221,-1.0,1.42,0.51,1.0948,1.66
Expansion,2003-07,2.359409701810137,4.843878242857228,7.119824562923941,1.78,2.956000730623698,-0.8789,-1.24,2.3405,2.429117216067822,4.3762,-0.24,2.35,-4.14,-1.7422,4.54
Expansion,2003-08,1.1509376879591005,2.3517918065771783,4.045793964792491,2.14,0.7192431907902197,-1.6327,1.53,2.3621,4.993423190963142,2.2397,-0.62,2.34,-2.25,-1.2384,2.48
Expansion,2003-09,0.5583901636620504,1.5941512038609185,2.0796945375187637,0.34,-0.6461044653988224,2.3261,0.16,0.2279,-1.0681543425762108,0.6889,-0.19,-1.24,1.01,1.2631,0.54
Expansion,2003-10,4.9687524419535976,6.6826767637644755,10.040024173728128,1.55,0.4631439034644247,-0.5642,1.97,1.031,3.464585935554698,3.0474,3.99,6.08,-1.35,-1.7507,2.71
Expansion,2003-11,2.467862713245587,3.2974049188476164,4.187995022303418,1.81,1.2660041013947687,0.5379,1.78,2.3052,-1.230896288286898,2.1957,1.46,1.35,0.19,0.7767,2.33
Expansion,2003-12,3.6317836579227736,4.187611127094106,4.9786523721998455,0.94,-4.868377601377027,-1.3486,1.6,0.774,-3.6716826920176526,-2.7811,-5.57,4.29,0.56,-1.7394,-2.49
Expansion,2004-01,2.379937632302124,3.2712221320368697,4.866202382461108,3.38,1.530191288933036,0.837,2.49,2.0585,1.7042543900283924,3.1121,2.58,2.15,-3.66,-2.4364,2.45
Expansion,2004-02,2.786843175734537,3.300888256514505,4.152302943529767,-1.21,-1.5432160849266574,-0.0152,0.9,-0.8855,-0.94950539348313,-0.3075,-1.14,1.4,2.17,2.1354,-0.93
Expansion,2004-03,0.6964178270261091,1.9459400387297332,2.8537762125090085,-0.98,2.929529051818136,-1.0578,0.27,-0.7352,0.1802192358755894,2.5218,0.17,-1.32,1.56,1.7567,2.1
Expansion,2004-04,-2.617500357510447,-1.9337821772593888,-1.4244630595452645,-2.84,1.0187857126129574,1.427,-3.1,-2.9001,-4.19020368775469,-3.2185,-5.38,-1.83,3.45,0.0193,-2.01
Expansion,2004-05,0.8581491446021761,1.7580009827223564,2.0309457929172647,0.03,1.070243277554872,-0.2178,-0.25,0.551,2.075021564800128,-0.3819,1.5,1.17,-1.18,1.068,-0.38
Expansion,2004-06,2.6407244558180576,3.1564875125890257,4.477793752893513,-0.39,-0.385733254363374,0.6322,1.18,-0.2618,0.3415882352644006,2.2399,2.05,1.86,1.2,0.5621,2.56
Expansion,2004-07,-1.3672619491056692,-0.8821377254067618,-1.1306653262314503,-1.66,-3.0374441758695747,3.0646,3.24,-0.9772,-5.769569780149652,-3.3502,-2.29,-4.06,5.32,2.4066,-2.95
Expansion,2009-12,5.650281716191107,7.4463439375632925,9.020366814641976,-0.09,-2.289120070141837,-0.126,-0.17,-0.1381,1.1920422888388238,4.839,3.01,2.75,1.02,-1.8542,6.24
Expansion,2010-01,-2.5100608973808947,-0.3763592238362534,2.1398541658600445,0.46,-2.742572750118244,-0.6848,0.43,0.6653,-1.1435250938105157,0.3824,-5.4,-3.36,-1.27,-1.0677,0.34
