,credit_factor,Date
2618,-0.005993345761624002,2001-02-22
2619,-0.00858600042696552,2001-02-23
2620,0.00443713508417627,2001-02-26
2621,-0.012210716129197767,2001-02-27
2622,-0.03355092119033599,2001-02-28
2623,0.031448718194247056,2001-03-01
2624,-0.011576308979287558,2001-03-02
2625,0.004292667340909109,2001-03-05
2626,0.021699632160054855,2001-03-06
2627,-0.0028714335468512948,2001-03-07
2628,-0.0031137038213422323,2001-03-08
2629,-0.037683337387722365,2001-03-09
2630,0.0005312922303679635,2001-03-12
2631,0.02519273929670104,2001-03-13
2632,0.0006912321929352042,2001-03-14
2633,-0.005171376723814031,2001-03-15
2634,-0.017224148861487366,2001-03-16
2635,0.015659015001977035,2001-03-19
2636,-0.01663308486749101,2001-03-20
2637,0.025457520806054495,2001-03-21
2638,0.054108413256814016,2001-03-22
2639,0.003808613769263511,2001-03-23
2640,-0.01382821736475266,2001-03-26
2641,-0.012294707009452434,2001-03-27
2642,-0.01212500354645282,2001-03-28
2643,-0.027855930238811107,2001-03-29
2644,-0.022510417996529804,2001-03-30
2645,-0.021761882326954092,2001-04-02
2646,-0.005985872502716507,2001-04-03
2647,-0.033610524662593996,2001-04-04
2648,0.03722418458020016,2001-04-05
2649,0.013482147946280883,2001-04-06
2650,-0.027518484736647614,2001-04-09
2651,0.02051983699543462,2001-04-10
2652,0.04644110308781772,2001-04-11
2653,0.026992849095838017,2001-04-12
2654,0.0010012366966199709,2001-04-16
2655,-0.0014453321310811118,2001-04-17
2656,0.04151724711052249,2001-04-18
2657,0.045604123173104104,2001-04-19
2658,-0.00879477561159328,2001-04-20
2659,-0.0263056286733877,2001-04-23
2660,-0.016414808539504232,2001-04-24
2661,0.010291993577059086,2001-04-25
2662,-0.018410682997781962,2001-04-26
2663,0.023978037112769156,2001-04-27
2664,-0.00926536937999368,2001-04-30
2665,0.014276451463359208,2001-05-01
2666,-0.002125695210648337,2001-05-02
2667,-0.0021681248210571272,2001-05-03
2668,0.0036002274472894426,2001-05-04
2669,0.00416763171804034,2001-05-07
2670,0.009399020860161223,2001-05-08
2671,-0.011236273438505529,2001-05-09
2672,-0.00965990887198555,2001-05-10
2673,0.002730673852449487,2001-05-11
2674,-0.007909557061436612,2001-05-14
2675,-0.005258464666056883,2001-05-15
2676,0.0175801984171192,2001-05-16
2677,-0.003474386150026227,2001-05-17
2678,-0.004784150315641426,2001-05-18
2679,0.027866546207430575,2001-05-21
2680,-0.010858106852154336,2001-05-22
2681,-0.022570097600943834,2001-05-23
2682,0.024188827917251222,2001-05-24
2683,-0.012558976641467042,2001-05-25
2684,-0.028350122673187067,2001-05-29
2685,-0.02542059459167216,2001-05-30
2686,0.008244632064721355,2001-05-31
2687,0.005198615830802188,2001-06-01
2688,-0.008664033315797645,2001-06-04
2689,0.021224860947903545,2001-06-05
2690,-0.0022323892827659456,2001-06-06
2691,0.026465685598207996,2001-06-07
2692,-0.010911188357672012,2001-06-08
2693,-0.012476367244614072,2001-06-11
2694,0.0030576445984597856,2001-06-12
2695,-0.02091072423555041,2001-06-13
2696,-0.016272626855677912,2001-06-14
2697,0.0224920573476688,2001-06-15
2698,0.0001498513213563351,2001-06-18
2699,0.01047621894729783,2001-06-19
2700,0.009549689235972745,2001-06-20
2701,-6.109201428720424e-05,2001-06-21
2702,0.005829944774470096,2001-06-22
2703,0.023150557532556282,2001-06-25
2704,-0.00745648148766791,2001-06-26
2705,0.0034265482630336875,2001-06-27
