Date,RF_HXZ,Mkt-RF_HXZ,ME_HXZ,IA_HXZ,ROE_HXZ,EG_HXZ
1970-04-17,0.1199,-3.5071,-1.3876,1.3142,0.0369,2.4416
1970-04-24,0.1199,-3.9477,-1.3447,1.0759,0.6412,1.3734
1970-05-01,0.1223,-1.7914,-1.404,0.9385,-0.7333,0.0401
1970-05-08,0.1318,-2.4972,0.2317,1.0962,0.1364,0.9058
1970-05-15,0.1318,-3.5007,-1.7517,1.6017,-0.3031,1.7367
1970-05-22,0.1318,-6.5558,-1.4759,2.9865,0.1567,2.1307
1970-05-29,0.1318,6.0196,-0.2534,-3.2611,0.4239,-1.694
1970-06-05,0.1258,-0.2626,1.2074,0.5242,0.7547,-0.0317
1970-06-12,0.1258,-2.7342,-0.4657,1.3631,0.5207,1.2131
1970-06-19,0.1258,3.5743,-1.3431,-1.5762,0.1324,0.5109
1970-06-26,0.1258,-5.0903,-0.7714,2.5502,0.9858,1.5506
1970-07-02,0.0946,-1.0999,-1.5239,1.5915,0.8839,1.7327
1970-07-10,0.1108,2.2149,-1.35,0.2214,0.2006,-0.3125
1970-07-17,0.1108,3.8435,-0.8404,0.3787,-1.6032,-1.1635
1970-07-24,0.1108,0.2187,0.8415,0.4465,-0.1911,-0.3664
1970-07-31,0.1108,0.4569,1.821,0.5277,0.1428,-0.2561
1970-08-07,0.1193,-1.0525,-0.2117,1.4239,-0.028,1.0879
1970-08-14,0.1193,-2.9577,-0.103,1.7561,0.3877,0.7594
1970-08-21,0.1193,5.077,-2.8837,-1.382,-1.6719,-1.3068
1970-08-28,0.1193,3.9535,3.1484,-2.9384,-1.7405,-2.7136
1970-09-04,0.1196,1.5147,1.5778,-1.8724,-1.4039,-1.5048
1970-09-11,0.0957,-0.1688,2.3932,-0.3885,-0.2143,-1.1111
1970-09-18,0.1196,0.3031,0.8854,-0.7024,0.2679,-0.1642
1970-09-25,0.1196,1.738,1.3259,-1.391,0.5018,-1.4794
1970-10-02,0.1167,1.58,1.1747,-0.4539,-0.2614,-1.3682
1970-10-09,0.1124,-0.5057,-0.097,1.3707,0.7314,2.1931
1970-10-16,0.1124,-1.3048,-0.7813,1.6669,0.9688,1.5906
1970-10-23,0.1124,-0.8835,-1.3571,0.362,1.6804,-0.0286
1970-10-30,0.1124,-0.7813,-0.9064,0.2194,1.9065,0.78
1970-11-06,0.112,1.2514,-0.4043,1.3443,0.1952,1.1204
1970-11-13,0.112,-1.1554,-0.7463,0.6524,0.5432,1.257
1970-11-20,0.112,0.1689,-2.0663,0.3279,1.0761,0.9987
1970-11-27,0.0896,2.6333,-0.8063,-0.577,0.0917,0.1539
1970-12-04,0.0911,4.2852,0.7733,-0.338,-1.4758,-1.6838
1970-12-11,0.0859,0.7905,-0.1419,-0.5806,0.2324,0.2499
1970-12-18,0.0859,-0.1005,-0.0577,0.3242,0.3781,1.131
1970-12-24,0.0687,0.6664,1.6242,-0.3801,-1.2146,-0.9994
1970-12-31,0.0687,1.7347,0.933,0.177,-0.2355,-0.5758
1971-01-08,0.0943,0.479,2.6146,0.6264,-1.8988,-0.1358
1971-01-15,0.0943,1.3696,1.7553,0.009,-1.7208,-1.7005
1971-01-22,0.0943,1.8659,0.7391,-0.2074,-0.3047,-0.7805
1971-01-29,0.0943,1.0405,1.3197,-0.7264,-0.0046,-0.34
1971-02-05,0.0879,1.6245,1.7797,-0.7953,-0.2425,-0.6476
1971-02-12,0.0879,1.5682,0.9163,-0.2215,0.0701,-0.4648
1971-02-19,0.0703,-1.8481,-0.5491,1.3876,0.9354,1.3882
1971-02-26,0.0879,0.0804,-0.6266,0.1684,1.5515,0.3856
1971-03-05,0.0635,2.4756,1.2437,-1.2748,0.1099,-0.5621
1971-03-12,0.0635,0.6358,0.6341,-0.5977,-0.0432,-0.4887
1971-03-19,0.0635,1.5561,0.4291,-0.3642,0.9773,-0.1546
1971-03-26,0.0635,-0.9446,0.4054,0.8197,0.4943,0.5837
1971-04-02,0.0648,0.6385,0.1283,-0.8973,0.4487,-0.0621
1971-04-08,0.0533,1.3394,-0.0368,0.7779,-0.4909,-0.2216
1971-04-16,0.0667,1.2167,-0.3617,0.9241,-0.7723,0.6454
1971-04-23,0.0667,0.4276,-0.4328,0.1275,0.046,-0.3697
1971-04-30,0.0667,-0.1254,0.3145,-0.1522,0.04,-0.5603
