Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
1975-09,   -4.26,    0.05,    0.39,    0.53,    0.55,    0.53,   0.41
1975-10,    5.31,   -4.23,    0.28,   -0.49,    2.26,    0.56,  -0.16
1975-11,    2.64,   -1.09,    2.03,   -0.68,    1.75,    0.41,  -0.45
1975-12,   -1.60,   -0.05,    1.69,   -0.09,    0.57,    0.48,  -0.11
1976-01,   12.16,    6.34,    8.63,   -1.79,    2.28,    0.47,   4.45
1976-02,    0.32,    7.99,    5.87,   -2.64,    3.87,    0.34,   0.38
1976-03,    2.32,   -1.38,   -0.12,   -0.33,    0.96,    0.40,   0.15
1976-04,   -1.49,    0.08,   -0.16,    0.40,   -1.10,    0.42,   0.59
1976-05,   -1.34,   -1.10,   -1.36,    2.46,   -1.41,    0.37,  -1.12
1976-06,    4.05,   -1.07,    0.71,   -0.68,    1.02,    0.43,  -0.42
1976-07,   -1.07,    0.63,    1.73,   -1.05,    0.28,    0.47,  -0.13
1976-08,   -0.56,   -1.98,    0.81,   -0.42,   -0.55,    0.42,  -0.85
1976-09,    2.07,    0.10,   -0.29,    0.98,   -1.15,    0.44,   0.22
1976-10,   -2.42,    0.13,   -0.18,   -0.19,   -0.37,    0.41,  -0.44
1976-11,    0.36,    2.66,    1.51,   -1.41,    0.09,    0.40,   2.91
1976-12,    5.65,    3.64,    2.27,   -0.61,    2.28,    0.40,   0.73
1977-01,   -4.05,    5.90,    4.27,   -0.51,    1.97,    0.36,   4.00
1977-02,   -1.94,    1.07,    0.47,   -0.16,   -0.22,    0.35,   0.36
1977-03,   -1.37,    1.31,    1.09,   -0.30,   -0.06,    0.38,   0.55
1977-04,    0.15,    0.61,    3.38,   -2.01,    1.14,    0.38,   4.21
1977-05,   -1.45,    1.31,    0.85,    0.33,    0.19,    0.37,   2.03
1977-06,    4.71,    2.08,   -0.74,    0.91,   -1.20,    0.40,   1.66
1977-07,   -1.69,    1.88,   -0.56,    0.73,    0.09,    0.42,   0.32
1977-08,   -1.75,    0.86,   -2.70,    0.98,   -0.66,    0.44,  -1.70
1977-09,   -0.27,    1.43,   -0.52,    1.43,   -0.84,    0.43,   2.00
1977-10,   -4.38,    1.48,    1.75,   -0.20,   -0.30,    0.49,  -0.08
1977-11,    4.00,    3.64,    0.26,   -0.13,    0.73,    0.50,   2.01
1977-12,    0.27,    1.59,   -0.29,    0.92,   -0.69,    0.49,   1.58
1978-01,   -6.01,    2.72,    3.36,   -1.72,    1.52,    0.49,  -0.66
1978-02,   -1.38,    3.70,    0.83,    0.30,    1.01,    0.46,   1.97
1978-03,    2.85,    3.71,    1.18,   -0.59,    1.89,    0.53,   1.37
1978-04,    7.88,   -0.26,   -3.54,    2.81,   -1.26,    0.54,   0.86
1978-05,    1.76,    4.58,   -0.52,    0.22,    0.41,    0.51,   2.83
1978-06,   -1.69,    1.56,    0.57,   -1.40,   -0.07,    0.54,   2.74
1978-07,    5.11,    0.12,   -1.15,    1.55,   -0.78,    0.56,   4.17
1978-08,    3.75,    4.95,   -0.51,    1.43,    0.46,    0.56,   2.83
1978-09,   -1.43,   -0.32,    1.89,   -0.67,    1.78,    0.62,  -3.14
1978-10,  -11.91,  -10.02,    1.38,    0.12,    0.94,    0.68,  -8.46
1978-11,    2.71,    2.81,   -2.15,    1.13,   -1.17,    0.70,   5.45
1978-12,    0.88,    1.13,   -2.13,    2.01,   -1.32,    0.78,   3.03
1979-01,    4.23,    3.78,    2.19,   -2.47,    1.52,    0.77,  -1.36
1979-02,   -3.56,    0.54,    1.17,   -1.12,    0.94,    0.73,  -1.06
1979-03,    5.68,    3.24,   -0.71,    0.53,    0.32,    0.81,   2.93
1979-04,   -0.06,    2.37,    1.12,    1.08,    0.17,    0.80,   0.81
1979-05,   -2.21,    0.18,    1.31,   -1.54,   -0.27,    0.82,  -0.54
1979-06,    3.85,    1.00,    1.44,   -1.66,   -0.52,    0.81,   0.84
1979-07,    0.82,    1.27,    1.86,   -0.29,    0.71,    0.77,  -1.07
1979-08,    5.53,    1.92,   -1.58,    1.62,   -1.48,    0.77,  -0.20
1979-09,   -0.82,   -0.32,   -0.90,    1.01,    0.32,    0.83,   5.28
1979-10,   -8.10,   -3.50,   -1.84,    1.01,    0.07,    0.87,   2.01
1979-11,    5.21,    2.53,   -3.29,    0.06,   -2.12,    0.99,   8.14
1979-12,    1.79,    4.32,   -2.10,   -0.70,   -0.92,    0.95,   4.78
1980-01,    5.51,    1.83,    1.75,   -1.70,    1.64,    0.80,   7.55
1980-02,   -1.22,   -1.57,    0.61,    0.04,    2.68,    0.89,   7.88
1980-03,  -12.90,   -6.93,   -1.01,    1.46,   -1.19,    1.21,  -9.55
1980-04,    3.97,    1.05,    1.06,   -2.10,    0.29,    1.26,  -0.43
1980-05,    5.26,    2.11,    0.38,    0.34,   -0.31,    0.81,  -1.12
1980-06,    3.06,    1.41,   -0.76,   -0.15,   -1.26,    0.61,   1.62
1980-07,    6.49,    3.82,   -6.41,    4.06,   -2.43,    0.53,   0.39
1980-08,    1.80,    4.25,   -2.60,    2.06,   -0.86,    0.64,   3.21
1980-09,    2.19,    0.67,   -4.59,    1.91,   -2.76,    0.75,   5.39
1980-10,    1.06,    2.33,   -2.76,    1.65,   -1.15,    0.95,   7.30
1980-11,    9.59,   -3.31,   -8.33,    4.50,   -5.66,    0.96,  15.22
