Year_Month,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1980-04,1.2865,3.9336,1.3721,1.292,0.1315,1.527
1980-05,0.7883,5.2656,1.5081,-1.4097,-0.9435,-0.8711
1980-06,0.6312,3.0379,1.4531,-0.8706,2.8361,0.7824
1980-07,0.5281,6.4901,3.6685,-2.0836,-0.376,-3.2905
1980-08,0.5973,1.8483,4.5284,0.574,2.5483,1.6329
1980-09,0.8698,2.0676,0.6982,-0.4471,5.2169,2.3899
1980-10,0.8912,1.126,1.0605,0.5273,4.1939,2.6902
1980-11,0.8895,9.6499,-5.1073,-1.9974,9.0598,0.5686
1980-12,1.4149,-4.594,1.0538,0.935,-1.2569,0.0925
1981-01,0.9957,-4.9937,3.7945,2.4815,-4.9423,0.7415
1981-02,1.0685,0.5716,-0.0834,1.8542,0.789,1.6319
1981-03,1.3157,3.4501,3.456,-1.8348,-1.4715,-1.87
1981-04,1.0756,-2.1749,4.2606,2.4423,1.3085,1.0692
1981-05,1.0646,0.1984,2.6196,-0.4474,-0.1153,1.7028
1981-06,1.5158,-2.5098,-0.6758,2.69,0.0218,1.7127
1981-07,1.1915,-1.4902,-1.8126,-2.0459,3.0661,-0.5199
1981-08,1.2804,-7.0074,-1.3698,1.4792,0.6495,2.5305
1981-09,1.2794,-7.1791,-1.7674,3.203,0.4439,3.9584
1981-10,1.1685,4.9279,1.8475,-1.0688,4.7505,-1.2313
1981-11,1.103,3.3194,-1.2442,0.8717,0.8913,2.1547
1981-12,0.8738,-3.6308,1.2971,1.8257,-0.4884,1.3495
1982-01,0.7306,-3.1675,-0.3342,1.8289,-1.5697,0.6537
1982-02,0.9176,-5.8456,0.5434,4.6477,0.2604,2.9919
1982-03,1.1077,-1.9771,0.584,1.8158,-1.7187,2.6123
1982-04,1.129,3.2641,0.4349,1.1523,1.9335,0.5208
1982-05,0.9592,-3.8098,-0.4383,-0.4864,-0.4619,1.0849
1982-06,1.071,-3.1715,0.9337,2.402,-0.3307,3.2813
1982-07,1.021,-3.1604,1.6572,2.033,2.6567,3.9233
1982-08,0.8342,11.0522,-3.3998,-0.2313,-1.113,-2.716
1982-09,0.5118,1.2968,2.9996,0.8538,3.3642,3.4851
1982-10,0.5475,11.3367,0.9019,-0.9357,-0.7816,-0.6333
1982-11,0.7201,4.5867,4.503,1.5525,3.282,3.9336
1982-12,0.6289,0.6062,-0.6529,0.6593,-0.6188,0.0635
1983-01,0.6864,3.5938,2.3781,-0.4342,-2.1214,-1.7204
1983-02,0.6186,2.5819,3.6625,1.3022,3.0029,1.8809
1983-03,0.6326,2.8196,1.6883,2.9888,1.2355,2.0629
1983-04,0.6918,6.6876,-0.3734,2.2915,0.5902,2.3557
1983-05,0.7584,0.4543,6.1617,-1.4138,-3.5987,-3.7338
1983-06,0.6661,3.0717,2.0286,-1.1767,1.5947,2.6379
1983-07,0.6917,-4.0176,0.621,2.8941,1.2493,3.0759
1983-08,0.8342,-0.5699,-4.8465,1.3062,-0.6707,0.3201
1983-09,0.7607,0.9204,0.3673,1.4393,3.2143,2.9507
1983-10,0.7433,-3.4214,-3.9853,2.7519,1.4329,3.7155
1983-11,0.7199,2.1445,2.1412,1.0773,-0.1428,-1.7882
1983-12,0.7039,-1.7477,-1.1226,1.3473,-1.5498,1.0921
1984-01,0.8083,-1.956,-1.0795,2.4216,-3.7825,0.9207
1984-02,0.7328,-4.7811,-1.7614,0.8081,-0.6922,0.767
1984-03,0.728,0.6344,-0.2057,0.7438,-0.7087,1.3193
1984-04,0.813,-0.5126,-1.0198,1.1412,2.1254,2.4241
1984-05,0.7898,-5.9686,-0.4289,-1.4779,1.8038,1.8653
1984-06,0.7534,1.8038,0.4361,-2.224,1.7342,0.5022
1984-07,0.8755,-2.7911,-2.4358,-1.1333,3.5624,2.6832
1984-08,0.7963,10.288,0.2388,-0.5642,0.9595,0.2173
1984-09,0.8293,-0.7716,-0.6136,2.6125,0.2634,1.2525
1984-10,0.9766,-0.832,-1.3783,-0.1114,2.7274,1.6277
1984-11,0.7334,-1.7638,-1.0661,2.2324,0.8237,1.603
1984-12,0.6923,1.7776,-0.437,-0.7952,2.5304,1.1563
1985-01,0.6474,7.9611,3.4587,-3.5197,0.9805,-1.7202
1985-02,0.6033,1.1967,0.7533,1.0872,1.4508,2.1784
1985-03,0.616,-0.8418,-1.9802,3.2773,0.9209,2.142
1985-04,0.7565,-0.997,-0.701,1.4232,0.1512,1.8619
1985-05,0.6062,5.1202,-1.6963,-1.1269,3.2405,1.5343
1985-06,0.5546,1.2633,-0.5336,-0.1719,2.8203,1.7054
1985-07,0.6196,-0.7116,2.3597,-0.718,-1.7551,1.3672
1985-08,0.5792,-1.0292,-0.1466,2.0278,0.4445,1.0229
1985-09,0.6049,-4.5087,-1.8332,1.9335,1.1424,1.7368
1985-10,0.6021,4.0507,-0.2573,0.2661,2.21,2.8835
1985-11,0.6156,6.4317,-0.2249,-1.682,1.7623,-0.9011
1985-12,0.6139,3.9068,0.2499,-1.4596,1.6959,-0.9985
1986-01,0.4865,0.7224,1.1173,-0.724,1.6676,1.7846
1986-02,0.5296,7.117,-0.4266,-1.3847,2.2307,0.7408
1986-03,0.5963,4.8773,0.5853,1.2226,2.0063,1.6661
1986-04,0.5341,-1.2942,1.0642,-1.5692,0.628,-0.0194
1986-05,0.4934,4.6066,-1.1843,1.3302,3.3736,0.9855
1986-06,0.5246,1.0335,-0.2493,1.7528,5.2824,0.8718
1986-07,0.5011,-6.4156,-2.6442,1.4526,3.1619,2.8576
1986-08,0.4614,6.0496,-4.4253,3.0245,-2.7297,1.6651
1986-09,0.4783,-8.6052,0.6344,3.2313,-3.9524,-0.3259
1986-10,0.4209,4.6836,-1.7298,0.5689,1.4996,0.6009
1986-11,0.3924,1.1602,-1.9743,0.4243,1.1473,3.7063
1986-12,0.4767,-3.2308,0.8393,1.0661,1.8831,1.6472
1987-01,0.4151,12.4379,-1.23,-1.2538,0.9991,2.9428
1987-02,0.4309,4.3777,3.3735,-1.9012,2.101,-0.5604
1987-03,0.5012,1.6042,-0.6612,4.2147,-1.121,1.3151
1987-04,0.4285,-2.0802,-2.4905,0.3763,-1.3785,0.6453
1987-05,0.376,0.1096,-1.2308,-0.1171,-2.3334,-0.2235
1987-06,0.5031,3.8854,-1.5507,1.4229,1.4697,-0.2278
1987-07,0.4058,3.8826,-2.0675,0.1261,-1.8073,-0.6309
1987-08,0.4744,3.5169,-0.1931,-0.2372,3.7936,2.5282
1987-09,0.482,-2.6135,0.6209,1.9149,0.5872,1.8374
1987-10,0.604,-23.1861,-7.4686,3.3551,0.3344,2.6169
1987-11,0.3366,-7.7278,3.275,0.5998,-0.6687,0.8926
1987-12,0.2988,6.9069,0.2421,-2.426,3.8843,1.674
1988-01,0.2762,4.2239,-0.751,1.3194,-4.0669,-1.7562
1988-02,0.4564,4.7515,3.5117,-0.6254,1.0352,-0.5616
1988-03,0.4402,-2.2538,5.709,1.6772,-2.1555,-2.028
1988-04,0.4577,0.5651,0.9169,2.1312,0.644,0.9061
1988-05,0.5051,-0.2813,-1.2091,0.4677,-0.1678,1.3142
1988-06,0.4832,4.7832,2.7761,-3.2454,2.2288,1.8257
1988-07,0.506,-1.2465,0.2177,1.1077,-1.134,0.0197
1988-08,0.5957,-3.2996,0.03,1.6686,-2.1518,-0.1886
1988-09,0.6145,3.2965,-1.4556,-0.42,2.1771,0.819
1988-10,0.6074,1.1583,-2.8125,0.5013,0.056,0.6653
1988-11,0.5742,-2.2855,-1.928,1.3928,-0.4884,0.3746
1988-12,0.6306,1.4837,2.4204,0.4539,0.7818,0.5134
1989-01,0.5766,6.0383,-2.204,0.0107,-0.3507,1.5548
1989-02,0.611,-2.2487,2.9516,1.5631,-0.4588,-0.1586
1989-03,0.6213,1.6143,1.3323,1.2637,-0.142,0.7382
1989-04,0.681,4.3075,-0.9415,-0.2841,1.1641,-0.2715
1989-05,0.8006,3.3236,0.0394,0.1016,1.1975,0.366
1989-06,0.7147,-1.3768,-0.7322,1.593,-0.1521,-0.9466
1989-07,0.704,7.1683,-3.464,-0.4503,4.9063,2.4612
1989-08,0.6684,1.5108,0.484,-0.4255,1.6506,0.1478
1989-09,0.6387,-0.755,0.7698,1.1982,1.6439,1.9118
1989-10,0.682,-3.6616,-3.3543,1.2994,1.4077,2.335
1989-11,0.634,1.0795,-1.3397,1.6323,0.2405,-0.6582
1989-12,0.5941,1.1758,-1.9468,1.5752,1.0677,2.4137
1990-01,0.5852,-7.8121,-1.2188,0.925,0.0355,-0.2262
1990-02,0.5818,1.1004,1.1796,-1.0948,-0.3925,0.0956
1990-03,0.638,1.8341,1.2208,-0.3645,2.2864,1.6703
1990-04,0.6829,-3.3489,-0.4983,-0.7918,1.9801,0.6246
1990-05,0.6404,8.4547,-1.6377,-0.8618,3.7369,2.6144
1990-06,0.5898,-1.0524,1.845,0.2453,2.2253,-0.2721
1990-07,0.6704,-1.8917,-2.4684,4.0112,2.5571,-0.0068
1990-08,0.6154,-10.075,-4.526,3.7203,-0.9983,1.2731
1990-09,0.5984,-6.1098,-3.4191,2.6212,-0.4552,2.7381
1990-10,0.6559,-1.8955,-5.0423,0.2605,2.077,3.0536
1990-11,0.5651,6.3398,0.4489,-3.9833,1.5215,-0.8312
1990-12,0.5989,2.4606,1.3158,-1.9466,3.8535,1.4665
1991-01,0.4637,4.7365,3.3624,-3.9503,0.1591,1.5865
1991-02,0.4767,7.1852,3.6299,0.1463,-1.2402,-0.6779
1991-03,0.4391,2.6593,3.9312,-0.9285,1.6779,0.0366
1991-04,0.5335,-0.2776,-0.7093,0.4677,1.3981,0.6157
1991-05,0.4461,3.6749,-0.5648,-1.9526,-0.7118,-1.0619
1991-06,0.4171,-4.9395,0.0591,0.6135,1.3683,0.4831
1991-07,0.484,4.2401,-0.5405,-0.6418,3.0468,0.3864
1991-08,0.461,2.3149,1.2962,-0.0359,1.1586,-0.2496
1991-09,0.4558,-1.5905,1.812,-0.8242,-0.3644,0.2084
1991-10,0.4246,1.2858,0.548,1.3518,-0.0451,3.2018
1991-11,0.3915,-4.1854,-0.2929,0.3063,3.2845,0.3457
1991-12,0.3792,10.8282,-1.4813,-2.0278,6.7592,-0.4648
1992-01,0.3059,-0.5529,8.3447,1.5044,-4.0675,1.5419
1992-02,0.2828,1.0845,1.4019,2.2609,0.7464,2.2092
1992-03,0.3376,-2.6549,-1.1984,2.0114,1.0075,2.0118
